"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated"
"PPP1R14C",0.251474489960966,12.3972010418034,0.995220905285929,0.326422738668444,0.635004558421811,-5.54980366547641,"PPP1R14C",0.426780715039334,0.486219595830351,"no"
"APOL2",0.251321921881676,9.99258891016786,1.56094462090345,0.127006481950622,0.403259567691237,-4.89653153737851,"APOL2",0.271027041244319,0.896174113661758,"no"
"CCDC124",0.251267769578092,11.6297329471828,2.12316915150442,0.0390123927033031,0.225848851734182,-4.05674744713221,"CCDC124",0.151790933081617,1.40879741277525,"no"
"OLA1",0.250743725358332,14.4217386934574,2.99730684328168,0.00433371724351329,0.0705523289966461,-2.15666332498386,"OLA1",0.0474175705001439,2.36313942794649,"yes"
"SPG7",0.250511102871092,12.2712513718421,3.25285993626714,0.00211378861793294,0.0479987478066978,-1.51691742085878,"SPG7",0.0322595163109486,2.67493844496394,"yes"
"RALA",0.250486630520268,13.4667891291554,2.28768217825094,0.0266818922888583,0.180572524574598,-3.73724236828841,"RALA",0.121361130612881,1.57378337335117,"no"
"FAM185A",0.250188308068235,12.1969550582337,2.49747337875822,0.0161323600995252,0.138421411211105,-3.2988929454002,"FAM185A",0.0930317555518825,1.7923020924237,"no"
"MRPL19",0.249903549275425,11.1298376784863,1.7590658512272,0.0854887110387177,0.334800027819707,-4.66457699660198,"MRPL19",0.225016015039642,1.06809123097107,"no"
"NDRG2",0.249709799190601,16.3497178325282,2.63090432078984,0.0114666286589919,0.114388548179493,-3.01153896815962,"NDRG2",0.0768794896617527,1.94056425167291,"no"
"NDUFS4",0.249700486862663,15.74471026485,1.95683587795716,0.0562974463765196,0.2691634127753,-4.35984062030887,"NDUFS4",0.180902250610874,1.24951130407829,"no"
