"","protein","group"
"1754","STYXL2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1755","MICOS13","Male_type_I, Male_type_II, Female_type_I"
"1756","RNF123","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1757","EGFLAM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1758","WASHC2A","Male_type_I, Male_type_II, Female_type_II"
"1759","SEL1L3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1760","ARHGAP17","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1761","DUSP29","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1762","BRAWNIN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1763","DUSP13","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1764","ADAL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1765","NXN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1766","H2BC20P","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1767","CIAPIN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1768","SMYD5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1769","PTRHD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1770","ABLIM2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1771","LAMTOR1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1772","DHRS7B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1773","TWF2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1774","RAB12","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1775","RCSD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1776","PDE12","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1777","MYORG","Male_type_I, Male_type_II, Female_type_II"
"1778","SLC25A24","Male_type_I, Male_type_II, Female_type_II"
"1779","HIBCH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1780","CAVIN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1781","TATDN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1782","C8orf82","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1783","PRPF8","Male_type_I, Female_type_I, Female_type_II"
"1784","FDX2","Male_type_I, Male_type_II"
"1785","FAHD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1786","LMOD2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1787","VWA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1788","SLC27A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1789","PGM2L1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1790","SKIC3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1791","DCUN1D2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1792","DARS2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1793","TMEM65","Male_type_I, Female_type_I, Female_type_II"
"1794","CNST","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1795","LARP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1796","CORO6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1797","POTEE","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1798","METAP1D","Male_type_I, Female_type_I, Female_type_II"
"1799","CSPG4","Male_type_I, Female_type_II"
"1800","TMEM205","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1801","UQCC3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1802","DHRS11","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1803","SBSN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1804","PET117","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1805","APOOL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1806","KSR2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1807","NAPRT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1808","B3GLCT","Male_type_I, Female_type_I, Female_type_II"
"1809","GIGYF2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1810","HSDL2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1811","TRIM72","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1812","UBR3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1813","TOM1L2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1814","XIRP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1815","VPS13C","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1816","RAPH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1817","CEFIP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1818","LARP4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1819","RPS27L","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1820","SND1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1821","TRMT10C","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1822","EIF3M","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1823","CDC37L1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1824","RRAGA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1825","CYFIP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1826","NDUFAF7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1827","COPS6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1828","RRM2B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1829","NUP54","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1830","DGLUCY","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1831","VPS35L","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1832","MYH14","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1833","SZRD1","Male_type_I, Male_type_II, Female_type_I"
"1834","MAVS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1835","CLASP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1836","HDDC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1837","DCXR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1838","HUWE1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1839","YTHDF3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1840","FILIP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1841","CMC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1842","CENPV","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1843","GLRX5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1844","MYPN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1845","SRL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1846","PRUNE1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1847","SETD3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1848","ACOT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1849","ISCA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1850","KTN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1851","NLRX1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1852","ITIH5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1853","ALYREF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1854","MDP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1855","SLC25A42","Male_type_I, Male_type_II, Female_type_I"
"1856","NRAP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1857","VPS36","Male_type_I, Male_type_II, Female_type_I"
"1858","CAND1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1859","HOOK3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1860","COMTD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1861","BPHL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1862","PPP1R27","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1863","CCDC25","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1864","LDHD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1865","COA5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1866","CARM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1867","NIT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1868","NDUFA11","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1869","THNSL2","Male_type_I, Female_type_I, Female_type_II"
"1870","HOMER1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1871","PHYKPL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1872","NUDCD3","Male_type_I, Female_type_I, Female_type_II"
"1873","DNAH10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1874","MMAA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1875","MUSTN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1876","NAXD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1877","MFN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1878","SLC44A2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1879","HSCB","Male_type_I, Female_type_I"
"1880","ZBTB8OS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1881","ADHFE1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1882","UNC45B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1883","SUGP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1884","RHOT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1885","SIRT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1886","MSRB3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1887","SUPV3L1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1888","THNSL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1889","MICU2","Male_type_I, Female_type_I"
"1890","ALDH16A1","Male_type_I, Male_type_II, Female_type_II"
"1891","FAM185A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1892","CLYBL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1893","ABRA","Male_type_I, Male_type_II, Female_type_II"
"1894","ADSS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1895","CCAR2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1896","NDUFAF2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1897","LRRC47","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1898","LTBP4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1899","TMEM256","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1900","GPD1L","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1901","EHBP1L1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1902","CMYA5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1903","TXLNB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1904","SYNPO","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1905","GUF1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1906","PTGR3","Male_type_I, Male_type_II, Female_type_I"
"1907","CBR4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1908","MMGT1","Male_type_I, Female_type_I"
"1909","CISD2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1910","ATPAF2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1911","JAGN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1912","MRPL50","Male_type_I, Male_type_II, Female_type_I"
"1913","EIF4E3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1914","CPSF7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1915","EMC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1916","LSMEM1","Male_type_I, Female_type_I"
"1917","PTGR2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1918","ENAH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1919","MRPL43","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1920","GDPD1","Male_type_I, Female_type_I"
"1921","SMYD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1922","GATD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1923","NHLRC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1924","COLGALT1","Male_type_I, Female_type_I"
"1925","RDH13","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1926","TXNDC5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1927","ATAD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1928","SCCPDH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1929","SERBP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1930","FAM98A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1931","PDPR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1932","NAXE","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1933","LSM14A","Male_type_I, Female_type_II"
"1934","NPEPL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1935","ADPRHL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1936","ABCF1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1937","MCU","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1938","VPS37A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1939","FLAD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1940","NUP43","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1941","TSTD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1942","ABHD11","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1943","ATL2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1944","PLBD2","Male_type_I"
"1945","TDRD7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1946","THOC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1947","COQ8A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1948","GADD45GIP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1949","SMARCC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1950","NPLOC4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1951","NUBPL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1952","DEPTOR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1953","UBA3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1954","TBC1D15","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1955","LRRC20","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1956","MRPL30","Male_type_I"
"1957","NT5C","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1958","STT3B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1959","PNPT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1960","SPPL2A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1961","CD99L2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1962","NEK9","Male_type_I, Female_type_I, Female_type_II"
"1963","GPT2","Male_type_I, Male_type_II, Female_type_I"
"1964","MYOZ3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1965","NEK7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1966","DCAF11","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1967","PPP4R1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1968","ABHD5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1969","SETD7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1970","SCFD2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1971","NUP133","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1972","PDCD6IP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1973","THEM6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1974","AFG1L","Male_type_I, Female_type_I"
"1975","NUDCD2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1976","SCFD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1977","PCNP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1978","DNAJA4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1979","SPRYD4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1980","MAIP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1981","LMO7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1982","CYGB","Male_type_I, Female_type_I, Female_type_II"
"1983","PHIP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1984","RTN4IP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1985","PALLD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1986","PSPC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1987","SYNE2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1988","ASB10","Male_type_I"
"1989","GATAD2B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1990","DNAH7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1991","THAP4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1992","CHCHD10","Male_type_I, Male_type_II, Female_type_II"
"1993","TTN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1994","OVCA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1995","LZIC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1996","IRGQ","Male_type_I, Male_type_II, Female_type_I"
"1997","DDX1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1998","HSD17B8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1999","CPT1B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2000","PSMF1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2001","GBF1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2002","NCSTN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2003","MRPS27","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2004","HSPH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2005","MYO18A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2006","GCN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2007","SGCD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2008","PIGK","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2009","MRPS31","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2010","AKAP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2011","ANP32B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2012","RABGGTA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
